name,drug_class,cid,molecular_formula,molecular_weight,iupac_name,canonical_smiles,isomeric_smiles,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,exact_mass,charge
Daridorexant,DORA,91801202,C23H23ClN6O2,450.9,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[5-methoxy-2-(triazol-2-yl)phenyl]methanone,,,4.1,1,5,4,88.9,450.1571017,0
Lemborexant,DORA,56944144,C22H20F2N4O2,410.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",,,3.2,1,7,6,77.0,410.15543222,0
Suvorexant,DORA,24965990,C23H23ClN6O2,450.9,"[(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.9,0,6,3,80.3,450.1571017,0
Oveporexton,agonist,154617563,C23H25F5N2O4S,520.5,"N-[(2S,3R)-2-[[3-(3,5-difluorophenyl)-2-fluorophenyl]methyl]-4,4-difluoro-1-(2-hydroxy-2-methylpropanoyl)pyrrolidin-3-yl]ethanesulfonamide",,,3.6,2,10,7,95.1,520.14551927,0
similar_to_91801202_91809208,DORA_analog,91809208,C23H24Cl2N6O2,487.4,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[5-methoxy-2-(triazol-2-yl)phenyl]methanone;hydrochloride,,,,2,5,4,88.9,486.1337794,0
similar_to_91801202_72694582,DORA_analog,72694582,C23H20ClFN6O2,466.9,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-4-methylidenepyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone,,,3.9,1,6,4,88.9,466.1320298,0
similar_to_91801202_72694992,DORA_analog,72694992,C23H19ClF4N6O2,522.9,[(2S)-2-[5-chloro-6-(trifluoromethyl)-1H-benzimidazol-2-yl]-2-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone,,,4.8,1,9,4,88.9,522.1194142,0
similar_to_91801202_118126995,DORA_analog,118126995,C23H21FN6O2,432.4,[2-fluoro-3-methyl-6-(triazol-2-yl)phenyl]-[(2S)-2-(6-methoxy-1H-benzimidazol-2-yl)-4-methylidenepyrrolidin-1-yl]methanone,,,3.2,1,6,4,88.9,432.17100210,0
similar_to_91801202_118127015,DORA_analog,118127015,C28H27ClFN3O3,508.0,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(3-methoxyphenyl)phenyl]methanone,,,5.9,1,5,5,67.5,507.1724976,0
similar_to_91801202_118127019,DORA_analog,118127019,C23H22ClFN6O3,484.9,"[(2S,4R)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-4-methoxypyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.6,1,7,5,98.2,484.1425944,0
similar_to_91801202_118127025,DORA_analog,118127025,C24H25FN6O4,480.5,"[(2S,3S)-2-(5,6-dimethoxy-1H-benzimidazol-2-yl)-3-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.4,1,8,6,107.0,480.19213146,0
similar_to_91801202_118127048,DORA_analog,118127048,C24H22ClF3N6O3,534.9,[(4R)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-4-methoxy-2-methylpyrrolidin-1-yl]-[2-(triazol-2-yl)-5-(trifluoromethoxy)phenyl]methanone,,,4.9,1,9,5,98.2,534.1394008,0
similar_to_91801202_118127060,DORA_analog,118127060,C24H25FN6O4,480.5,"[(2S)-2-(5,6-dimethoxy-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.2,1,8,6,107.0,480.19213146,0
similar_to_91801202_118127072,DORA_analog,118127072,C24H20ClF3N6O3,532.9,"[(2S)-2-[5-chloro-6-(trifluoromethyl)-1H-benzimidazol-2-yl]-4-methylidenepyrrolidin-1-yl]-[4,5-dimethoxy-2-(triazol-2-yl)phenyl]methanone",,,4.2,1,9,5,98.2,532.1237507,0
similar_to_91801202_118127141,DORA_analog,118127141,C21H19FN6O2,406.4,[5-fluoro-2-(triazol-2-yl)phenyl]-[(2S)-2-(6-methoxy-1H-benzimidazol-2-yl)pyrrolidin-1-yl]methanone,,,3.1,1,6,4,88.9,406.15535203,0
similar_to_91801202_118127205,DORA_analog,118127205,C22H21FN6O3,436.4,"[5-fluoro-2-(triazol-2-yl)phenyl]-[(2S,4R)-4-methoxy-2-(6-methoxy-1H-benzimidazol-2-yl)pyrrolidin-1-yl]methanone",,,2.6,1,7,5,98.2,436.16591672,0
similar_to_91801202_118127222,DORA_analog,118127222,C22H19FN6O2,418.4,[2-fluoro-6-(triazol-2-yl)phenyl]-[(2S)-2-(6-methoxy-1H-benzimidazol-2-yl)-4-methylidenepyrrolidin-1-yl]methanone,,,2.9,1,6,4,88.9,418.15535203,0
similar_to_91801202_118127228,DORA_analog,118127228,C24H23F3N6O4,516.5,"[(2S)-2-(5,6-dimethoxy-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[2-(triazol-2-yl)-5-(trifluoromethoxy)phenyl]methanone",,,4.3,1,10,6,107.0,516.17328772,0
similar_to_91801202_118127252,DORA_analog,118127252,C22H20ClFN6O,438.9,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[5-fluoro-2-(triazol-2-yl)phenyl]methanone,,,4.3,1,5,3,79.7,438.1371151,0
similar_to_91801202_118127278,DORA_analog,118127278,C24H23FN6O2,446.5,"[(2S)-2-(5,6-dimethyl-1H-benzimidazol-2-yl)-4-methylidenepyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.6,1,6,4,88.9,446.18665216,0
similar_to_91801202_118127316,DORA_analog,118127316,C23H23FN6O3,450.5,"[(2S)-2-(5,6-dimethoxy-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[2-fluoro-6-(triazol-2-yl)phenyl]methanone",,,3.2,1,7,5,98.2,450.18156678,0
similar_to_91801202_118127332,DORA_analog,118127332,C22H21FN6O2S,452.5,[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]-[(2S)-2-(4-methylsulfanyl-1H-benzimidazol-2-yl)pyrrolidin-1-yl]methanone,,,3.6,1,7,5,114.0,452.14307327,0
similar_to_91801202_118127349,DORA_analog,118127349,C22H21FN6O2,420.4,[2-fluoro-3-methyl-6-(triazol-2-yl)phenyl]-[(2S)-2-(6-methoxy-1H-benzimidazol-2-yl)pyrrolidin-1-yl]methanone,,,3.4,1,6,4,88.9,420.17100210,0
similar_to_56944144_56944522,DORA_analog,56944522,C23H23FN4O3,422.5,"cis-(1R,2S)-N-(5-fluoro-2-pyridinyl)-2-[[4-(methoxymethyl)-2-methylpyrimidin-5-yl]oxymethyl]-2-phenylcyclopropane-1-carboxamide",,,2.4,1,7,8,86.2,422.17541877,0
similar_to_56944144_56944620,DORA_analog,56944620,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-(3-fluorophenyl)-N-(5-fluoro-2-pyridinyl)-2-[[4-(methoxymethyl)-2-methylpyrimidin-5-yl]oxymethyl]cyclopropane-1-carboxamide",,,2.5,1,8,8,86.2,440.16599690,0
similar_to_56944144_56943752,DORA_analog,56943752,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluoro-4-methoxyphenyl)-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",,,3.1,1,8,7,86.2,440.16599690,0
similar_to_56944144_56944043,DORA_analog,56944043,C23H22F2N4O2,424.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methyl-2-pyridinyl)-2-(3-fluorophenyl)cyclopropane-1-carboxamide",,,3.5,1,7,6,77.0,424.17108228,0
similar_to_56944144_56944044,DORA_analog,56944044,C22H21FN4O2,392.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",,,3.1,1,6,6,77.0,392.16485409,0
similar_to_56944144_56944045,DORA_analog,56944045,C22H21ClN4O2,408.9,"cis-(1R,2S)-N-(5-chloro-2-pyridinyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-phenylcyclopropane-1-carboxamide",,,3.6,1,5,6,77.0,408.1353036,0
similar_to_56944144_56944143,DORA_analog,56944143,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methoxy-2-pyridinyl)-2-(3-fluorophenyl)cyclopropane-1-carboxamide",,,3.1,1,8,7,86.2,440.16599690,0
similar_to_56944144_56944244,DORA_analog,56944244,C23H20FN5O2,417.4,"cis-(1R,2S)-N-(5-cyano-2-pyridinyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)cyclopropane-1-carboxamide",,,2.8,1,7,6,101.0,417.16010306,0
similar_to_56944144_56944245,DORA_analog,56944245,C22H20F2N4O2,410.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(4-fluorophenyl)-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",,,3.2,1,7,6,77.0,410.15543222,0
similar_to_56944144_56944337,DORA_analog,56944337,C24H23N5O2,413.5,"cis-(1R,2S)-N-(5-cyano-2-pyridinyl)-2-[(4-ethyl-2-methylpyrimidin-5-yl)oxymethyl]-2-phenylcyclopropane-1-carboxamide",,,3.1,1,6,7,101.0,413.18517499,0
similar_to_56944144_56944429,DORA_analog,56944429,C22H19F3N4O2,428.4,"cis-(1R,2S)-2-(3,5-difluorophenyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",,,3.3,1,8,6,77.0,428.14601035,0
similar_to_56944144_56944521,DORA_analog,56944521,C24H23N5O3,429.5,"cis-(1R,2S)-N-(5-cyano-2-pyridinyl)-2-[[4-(methoxymethyl)-2-methylpyrimidin-5-yl]oxymethyl]-2-phenylcyclopropane-1-carboxamide",,,2.0,1,7,8,110.0,429.18008961,0
similar_to_56944144_67281908,DORA_analog,67281908,C23H23FN4O3,422.5,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methoxy-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",,,3.0,1,7,7,86.2,422.17541877,0
similar_to_56944144_67282493,DORA_analog,67282493,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-6-methoxy-2-pyridinyl)-2-(3-fluorophenyl)cyclopropane-1-carboxamide",,,3.5,1,8,7,86.2,440.16599690,0
similar_to_56944144_67282848,DORA_analog,67282848,C22H19F3N4O2,428.4,"cis-(1R,2S)-2-(3,4-difluorophenyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",,,3.3,1,8,6,77.0,428.14601035,0
similar_to_56944144_67283149,DORA_analog,67283149,C23H23FN4O2,406.5,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methyl-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",,,3.4,1,6,6,77.0,406.18050415,0
similar_to_56944144_67473922,DORA_analog,67473922,C23H24N4O2,388.5,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(4-methyl-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",,,3.3,1,5,6,77.0,388.18992602,0
similar_to_56944144_67473934,DORA_analog,67473934,C22H22N4O2,374.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-phenyl-N-pyridin-2-ylcyclopropane-1-carboxamide",,,3.0,1,5,6,77.0,374.17427596,0
similar_to_56944144_67473935,DORA_analog,67473935,C22H22N4O2,374.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-phenyl-N-pyridin-3-ylcyclopropane-1-carboxamide",,,2.6,1,5,6,77.0,374.17427596,0
similar_to_24965990_122438723,DORA_analog,122438723,C21H19FN6O2,406.4,"N-[(1S,2S)-2-[(5-fluoro-1,3-benzoxazol-2-yl)amino]cyclopentyl]-2-(triazol-2-yl)benzamide",,,4.1,2,7,5,97.9,406.15535203,0
similar_to_24965990_25204740,DORA_analog,25204740,C22H24N6O2,404.5,"N-[2-[1,3-benzoxazol-2-yl(methyl)amino]ethyl]-N-ethyl-5-methyl-2-(triazol-2-yl)benzamide",,,4.1,0,6,7,80.3,404.19607403,0
similar_to_24965990_46868791,DORA_analog,46868791,C23H24N6O2,416.5,"[(7R)-4-(1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.3,0,6,3,80.3,416.19607403,0
similar_to_24965990_57505028,DORA_analog,57505028,C23H23ClN6O2,450.9,"[4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.9,0,6,3,80.3,450.1571017,0
similar_to_24965990_118025611,DORA_analog,118025611,C21H20N6O2,388.4,"N-[(1S,2S)-2-(1,3-benzoxazol-2-ylamino)cyclopentyl]-2-(triazol-2-yl)benzamide",,,4.0,2,6,5,97.9,388.16477390,0
similar_to_24965990_137634720,DORA_analog,137634720,C22H19ClN6O2,434.9,"[(3aR,6aS)-2-(5-chloro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[2-(triazol-2-yl)phenyl]methanone",,,4.0,0,6,3,80.3,434.1258016,0
similar_to_24965990_137636340,DORA_analog,137636340,C24H24N6O2,428.5,"[(3aR,6aS)-2-(5-methyl-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.1,0,6,3,80.3,428.19607403,0
similar_to_24965990_137638805,DORA_analog,137638805,C23H21FN6O2,432.4,"[(3aR,6aS)-2-(5-fluoro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,3.9,0,7,3,80.3,432.17100210,0
similar_to_24965990_137641369,DORA_analog,137641369,C22H18ClFN6O2,452.9,"[(3aS,6aR)-2-(5-chloro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-fluoro-2-(triazol-2-yl)phenyl]methanone",,,4.1,0,7,3,80.3,452.1163797,0
similar_to_24965990_137642484,DORA_analog,137642484,C23H19ClF2N6O2,484.9,"[(3aS,6aR)-2-(5-chloro-1,3-benzoxazol-2-yl)-3a,6a-difluoro-1,3,4,6-tetrahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.4,0,8,3,80.3,484.1226079,0
similar_to_24965990_137647371,DORA_analog,137647371,C23H18ClF3N6O3,518.9,"[(3aS,6aR)-2-(5-chloro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[2-(triazol-2-yl)-5-(trifluoromethoxy)phenyl]methanone",,,5.2,0,10,4,89.5,518.1081006,0
similar_to_24965990_137649834,DORA_analog,137649834,C23H21ClN6O2,448.9,"[(3aR,6aS)-2-(5-chloro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.4,0,6,3,80.3,448.1414516,0
similar_to_24965990_137652411,DORA_analog,137652411,C23H22N6O2,414.5,"[(3aR,6aS)-2-(1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,3.8,0,6,3,80.3,414.18042397,0
similar_to_24965990_137657078,DORA_analog,137657078,C23H21ClN6O2,448.9,"[5-(5-chloro-1,3-benzoxazol-2-yl)-2,3,3a,4,6,6a-hexahydropyrrolo[2,3-c]pyrrol-1-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.6,0,6,3,80.3,448.1414516,0
similar_to_24965990_137657849,DORA_analog,137657849,C24H23ClN6O2,462.9,"[2-(5-chloro-1,3-benzoxazol-2-yl)-3a-methyl-3,4,6,6a-tetrahydro-1H-pyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.8,0,6,3,80.3,462.1571017,0
similar_to_24965990_137658206,DORA_analog,137658206,C23H20F2N6O2,450.4,"[(3aS,6aR)-2-(1,3-benzoxazol-2-yl)-3a,6a-difluoro-1,3,4,6-tetrahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,3.7,0,8,3,80.3,450.16158023,0
similar_to_24965990_137658775,DORA_analog,137658775,C23H21ClN6O3,464.9,"[(3aR,6aS)-2-(5-chloro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methoxy-2-(triazol-2-yl)phenyl]methanone",,,4.0,0,7,4,89.5,464.1363662,0
similar_to_24965990_137659457,DORA_analog,137659457,C24H21F3N6O2,482.5,"[(3aR,6aS)-2-[5-(trifluoromethyl)-1,3-benzoxazol-2-yl]-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.7,0,9,3,80.3,482.16780842,0
similar_to_24965990_156898568,DORA_analog,156898568,C24H22ClN7O2,475.9,"2-(1,3-benzoxazol-2-ylamino)-4-(2-chlorophenyl)-6-methyl-N-[(1-methylpyrazol-4-yl)methyl]-1,4-dihydropyrimidine-5-carboxamide",,,2.7,3,5,6,109.0,475.1523507,0
similar_to_154617563_137460733,agonist_analog,137460733,C22H25F3N2O4S,470.5,"N-[(2S,3S)-2-[[3-(3,5-difluorophenyl)-2-fluorophenyl]methyl]-1-(2-hydroxy-2-methylpropanoyl)pyrrolidin-3-yl]methanesulfonamide",,,2.9,2,8,6,95.1,470.14871294,0
similar_to_154617563_137460654,agonist_analog,137460654,C23H26F2N2O3S,448.5,"N-[(2R,3R)-1-(cyclobutanecarbonyl)-2-[[3-fluoro-5-(3-fluorophenyl)phenyl]methyl]pyrrolidin-3-yl]methanesulfonamide",,,3.9,1,6,6,74.9,448.16322019,0
similar_to_154617563_137460655,agonist_analog,137460655,C23H26F2N2O3S,448.5,"N-[(2S,3S)-1-(cyclobutanecarbonyl)-2-[[3-fluoro-5-(3-fluorophenyl)phenyl]methyl]pyrrolidin-3-yl]methanesulfonamide",,,3.9,1,6,6,74.9,448.16322019,0
similar_to_154617563_137460656,agonist_analog,137460656,C23H26F2N2O3S,448.5,N-[1-(cyclobutanecarbonyl)-2-[[3-fluoro-5-(3-fluorophenyl)phenyl]methyl]pyrrolidin-3-yl]methanesulfonamide,,,3.9,1,6,6,74.9,448.16322019,0
similar_to_154617563_137460691,agonist_analog,137460691,C25H28F2N2O4S,490.6,"N-[(2S,3S)-2-[[2-fluoro-3-(3-fluorophenyl)phenyl]methyl]-1-(1-hydroxycyclobutanecarbonyl)pyrrolidin-3-yl]cyclopropanesulfonamide",,,3.5,2,7,7,95.1,490.17378488,0
similar_to_154617563_137460720,agonist_analog,137460720,C23H26F2N2O4S,464.5,"N-[(2S,3S)-2-[[2-fluoro-3-(3-fluorophenyl)phenyl]methyl]-1-(1-hydroxycyclobutanecarbonyl)pyrrolidin-3-yl]methanesulfonamide",,,2.9,2,7,6,95.1,464.15813481,0
similar_to_154617563_137460777,agonist_analog,137460777,C24H27F3N2O3S,480.5,"N-[(2S,3S)-1-(cyclobutanecarbonyl)-2-[[2,5-difluoro-3-(3-fluorophenyl)phenyl]methyl]pyrrolidin-3-yl]ethanesulfonamide",,,4.3,1,7,7,74.9,480.16944839,0
similar_to_154617563_137460794,agonist_analog,137460794,C23H27FN2O4S,446.5,"N-[(2S,3S)-2-[[3-(3-fluorophenyl)phenyl]methyl]-1-(1-hydroxycyclobutanecarbonyl)pyrrolidin-3-yl]methanesulfonamide",,,2.8,2,6,6,95.1,446.16755668,0
similar_to_154617563_137460817,agonist_analog,137460817,C23H27F3N2O4S,484.5,"N-[(2S,3S)-2-[[3-(3,5-difluorophenyl)-2-fluorophenyl]methyl]-1-(2-hydroxy-2-methylpropanoyl)pyrrolidin-3-yl]ethanesulfonamide",,,3.3,2,8,7,95.1,484.16436301,0
similar_to_154617563_137460824,agonist_analog,137460824,C20H22F2N2O4S,424.5,"(2S,3S)-3-(ethylsulfonylamino)-2-[[2-fluoro-3-(3-fluorophenyl)phenyl]methyl]pyrrolidine-1-carboxylic acid",,,3.3,2,7,6,95.1,424.12683468,0
similar_to_154617563_137460839,agonist_analog,137460839,C22H26F3N3O3S,469.5,"(2S,3S)-2-[[3-(3,5-difluorophenyl)-2-fluorophenyl]methyl]-3-(ethylsulfonylamino)-N,N-dimethylpyrrolidine-1-carboxamide",,,3.4,1,7,6,78.1,469.16469736,0
similar_to_154617563_137460853,agonist_analog,137460853,C22H24F2N2O3S,434.5,"N-[(2R,3R)-1-(2,2-difluorocyclopropanecarbonyl)-2-[(3-phenylphenyl)methyl]pyrrolidin-3-yl]methanesulfonamide",,,3.4,1,6,6,74.9,434.14757013,0
similar_to_154617563_137460856,agonist_analog,137460856,C22H24F2N2O3S,434.5,"N-[(2S,3S)-1-(2,2-difluorocyclopropanecarbonyl)-2-[(3-phenylphenyl)methyl]pyrrolidin-3-yl]methanesulfonamide",,,3.4,1,6,6,74.9,434.14757013,0
similar_to_154617563_137460857,agonist_analog,137460857,C22H24F2N2O3S,434.5,"N-[1-(2,2-difluorocyclopropanecarbonyl)-2-[(3-phenylphenyl)methyl]pyrrolidin-3-yl]methanesulfonamide",,,3.4,1,6,6,74.9,434.14757013,0
similar_to_154617563_137460862,agonist_analog,137460862,C21H22F2N2O4S,436.5,"(2S,3S)-3-(cyclopropylsulfonylamino)-2-[[2-fluoro-3-(3-fluorophenyl)phenyl]methyl]pyrrolidine-1-carboxylic acid",,,3.5,2,7,6,95.1,436.12683468,0
similar_to_154617563_137460871,agonist_analog,137460871,C23H27F3N2O4S,484.5,"1-fluoro-N-[(2S,3S)-2-[[2-fluoro-3-(3-fluorophenyl)phenyl]methyl]-1-(2-hydroxy-2-methylpropanoyl)pyrrolidin-3-yl]ethanesulfonamide",,,3.7,2,8,7,95.1,484.16436301,0
similar_to_154617563_137460876,agonist_analog,137460876,C22H25F3N2O3S,454.5,"N-[(2R,3R)-2-[(3-phenylphenyl)methyl]-1-(3,3,3-trifluoro-2-methylpropanoyl)pyrrolidin-3-yl]methanesulfonamide",,,4.3,1,7,6,74.9,454.15379832,0
similar_to_154617563_137460877,agonist_analog,137460877,C22H25F3N2O3S,454.5,"N-[(2S,3S)-2-[(3-phenylphenyl)methyl]-1-(3,3,3-trifluoro-2-methylpropanoyl)pyrrolidin-3-yl]methanesulfonamide",,,4.3,1,7,6,74.9,454.15379832,0
similar_to_154617563_137460878,agonist_analog,137460878,C22H25F3N2O3S,454.5,"N-[2-[(3-phenylphenyl)methyl]-1-(3,3,3-trifluoro-2-methylpropanoyl)pyrrolidin-3-yl]methanesulfonamide",,,4.3,1,7,6,74.9,454.15379832,0
